X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8572028.64042698,4713720.38170192,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2717,mquach,2016/10/07 18:50:25+00,ADA,2024/06/27 20:40:41+00,,{9F126B72-7608-489E-AD4C-1644DCCAA53F},2717
-8573657.34860222,4713518.1883776,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2718,mquach,2016/10/07 18:57:16+00,ADA,2024/06/27 20:40:41+00,,{A157C104-255A-4A18-BB07-6D12D14C8671},2718
-8572969.93412869,4713565.23993398,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2719,mquach,2016/10/07 18:59:11+00,ADA,2024/06/27 20:40:41+00,,{2E019C16-5F5B-4BCC-B67D-2AF5DE0EC170},2719
-8572037.17564335,4713179.56950021,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2720,mquach,2016/10/07 19:06:37+00,ADA,2024/06/27 20:40:41+00,,{4B1BEF9A-5458-4E6C-8FF3-3F2F52BCDD91},2720
-8575311.3211095,4715074.99807527,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2721,mquach,2016/10/07 17:05:32+00,ADA,2024/06/27 20:40:41+00,,{F17367A5-8565-40BB-9705-12E0D09FA344},2721
-8573796.04513867,4715104.05942754,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2722,mquach,2016/10/07 17:07:23+00,ADA,2024/06/27 20:40:41+00,,{9F7C64A7-5DE9-44E1-8EE3-A35828D4D1BD},2722
-8575311.41321559,4714759.71618927,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2723,mquach,2016/10/07 17:13:53+00,ADA,2024/06/27 20:40:41+00,,{D90C3199-79A8-4762-8C25-CD1B50FF3C64},2723
-8575273.62537351,4714456.16589777,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2724,mquach,2016/10/07 17:31:11+00,ADA,2024/06/27 20:40:41+00,,{9BE128C0-8858-40C3-9FA7-BDD0B4D766D6},2724
-8573941.92930288,4714273.60628366,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2725,mquach,2016/10/07 17:41:22+00,ADA,2024/06/27 20:40:41+00,,{2E9A3136-0E9C-4712-88E2-6555D7E46629},2725
-8571669.06807621,4696166.61085392,Good,,yes,1,2030,2016,ADA_BusStopPt_2726,cbarreto,2016/10/07 17:47:29+00,ADA,2024/06/27 20:40:41+00,,{52768D4C-66CE-4EA1-83DF-299F64D1C80F},2726
