X,Y,PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8575429.22406627,4707883.13537238,None,,1,2030,2016,ADA_APSPt_6434,cwright,2016/09/15 17:42:14+00,ADA,2024/06/27 20:42:58+00,,{223EBCB4-7B8C-471A-9F7D-5E38FC35B31D},6434
-8575649.25973134,4708957.53129136,None,,1,2030,2016,ADA_APSPt_6435,hseyedinejad,2016/09/01 20:49:12+00,ADA,2024/06/27 20:42:58+00,,{A94E5F6C-D27F-4095-B127-7A801B92B1A6},6435
-8569742.92492456,4704687.25773046,None,,1,2030,2016,ADA_APSPt_6436,dwilkins,2016/08/17 04:41:01+00,ADA,2024/06/27 20:42:58+00,,{63EF555D-F0E1-4F58-A3B7-C856D62457F8},6436
-8567021.64264189,4701907.24802261,None,,1,2030,2016,ADA_APSPt_6437,cwright,2016/08/29 21:17:59+00,ADA,2024/06/27 20:42:58+00,,{22EED351-3E33-46B1-B509-948DEF9F29C0},6437
-8571220.79076209,4714879.09828984,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6438,pkhouri,2016/08/16 19:01:26+00,ADA,2024/06/27 20:42:58+00,,{A516E42A-072C-4D93-8944-76B9E7628127},6438
-8579774.5574451,4714856.6172342,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6439,byohannes,2016/08/03 22:03:26+00,ADA,2024/06/27 20:42:58+00,,{96A981FF-6A04-434C-B34F-EBA1AA47A621},6439
-8572623.99468328,4706791.64801984,None,,1,2030,2016,ADA_APSPt_6440,dwilkins,2016/08/26 07:46:58+00,ADA,2024/06/27 20:42:58+00,,{EE80DFBA-7CCB-475E-BA85-21FF3378D06E},6440
-8579754.65511269,4710595.98365594,None,,1,2030,2016,ADA_APSPt_6441,kshedrick,2016/08/29 21:50:31+00,ADA,2024/06/27 20:42:58+00,,{B78F9C97-C8B9-417F-BA50-22A34A58D5EA},6441
-8578984.53894475,4716077.79261931,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6442,Esri_Anonymous,2016/07/11 17:54:07+00,ADA,2024/06/27 20:42:58+00,,{30826B4D-6213-41D3-984E-7B08E3743B02},6442
-8569870.42498855,4710759.74556871,None,,1,2030,2016,ADA_APSPt_6443,cwright,2016/08/17 21:05:32+00,ADA,2024/06/27 20:42:58+00,,{A5896A0E-6E18-44B8-935F-A9DC6E0A43BF},6443
-8574138.46655599,4709102.50237934,None,,1,2030,2016,ADA_APSPt_6444,bblowe,2016/08/12 22:37:45+00,ADA,2024/06/27 20:42:58+00,,{AEC2794C-6ABC-4ADF-B015-BBBF8FA77EFC},6444
-8574742.3240075,4706946.3809782,None,,1,2030,2016,ADA_APSPt_6445,sbennett,2016/09/14 21:50:27+00,ADA,2024/06/27 20:42:58+00,,{902A48E7-6851-4602-A732-25785EFD594C},6445
